activation,lr,units,id,objective,elapsed_sec
identity,0.75076190813438,67,76b480de-eb51-11eb-8df3-e974156e0e1f,-0.2588670551776886,28.783008575439453
identity,0.36072302898688596,5,76b499d4-eb51-11eb-8df3-e974156e0e1f,-0.09685121476650238,29.624173879623413
relu,0.04019402206300015,45,76b4b3f6-eb51-11eb-8df3-e974156e0e1f,0.97829669713974,40.4095458984375
identity,0.2728336018270752,11,76b4cc4c-eb51-11eb-8df3-e974156e0e1f,-0.138178288936615,26.874418258666992
identity,0.8985329720545335,84,76b4e2e0-eb51-11eb-8df3-e974156e0e1f,-12.542293548583984,27.078349828720093
identity,0.8469454633916131,2,76b50496-eb51-11eb-8df3-e974156e0e1f,-0.19443005323410034,28.212148904800415
sigmoid,0.18690074030074003,39,76b520de-eb51-11eb-8df3-e974156e0e1f,-0.025740258395671844,28.462849855422974
sigmoid,0.7771885415567726,14,76b535f6-eb51-11eb-8df3-e974156e0e1f,-0.25231924653053284,34.46271729469299
relu,0.12487483278850842,67,76b54c6c-eb51-11eb-8df3-e974156e0e1f,0.9265413880348206,33.32994341850281
relu,0.20781089299598982,96,76b578c2-eb51-11eb-8df3-e974156e0e1f,0.8961020708084106,39.024614334106445
relu,0.09061588526001951,49,76b58e70-eb51-11eb-8df3-e974156e0e1f,0.9545871019363403,34.46286463737488
relu,0.8895512458804375,50,76b5a568-eb51-11eb-8df3-e974156e0e1f,-0.5424838066101074,28.462956428527832
identity,0.876054688676836,83,76b5ba4e-eb51-11eb-8df3-e974156e0e1f,-0.4303542971611023,33.89722990989685
sigmoid,0.6562144732396396,99,76b5ce9e-eb51-11eb-8df3-e974156e0e1f,-0.08139413595199585,28.78311848640442
sigmoid,0.8319901251993532,62,76b5e2a8-eb51-11eb-8df3-e974156e0e1f,-0.08990652114152908,32.97732949256897
sigmoid,0.08740626469242954,73,76b5f5b8-eb51-11eb-8df3-e974156e0e1f,-0.025773335248231888,25.40066361427307
identity,0.8824527503409314,21,76b61f2a-eb51-11eb-8df3-e974156e0e1f,-0.4032924175262451,23.661146640777588
identity,0.04890431096622212,31,76b63398-eb51-11eb-8df3-e974156e0e1f,-0.10585831105709076,24.681716680526733
tanh,0.21934572619320106,40,76b64ba8-eb51-11eb-8df3-e974156e0e1f,-0.028886806219816208,35.25633239746094
identity,0.7065360929185163,27,76b65e22-eb51-11eb-8df3-e974156e0e1f,-0.39719805121421814,31.48314905166626
sigmoid,0.8548303914092166,93,76b6874e-eb51-11eb-8df3-e974156e0e1f,-0.07178498804569244,24.113723754882812
sigmoid,0.13325319008586398,58,76b6a364-eb51-11eb-8df3-e974156e0e1f,-0.02513410523533821,26.22122073173523
sigmoid,0.2351382175128493,52,76b6bd68-eb51-11eb-8df3-e974156e0e1f,-0.03572162985801697,32.26439619064331
relu,0.4356855305260808,27,76b6d32a-eb51-11eb-8df3-e974156e0e1f,0.8177444934844971,38.34117650985718
relu,0.08328004262383544,63,76b6e996-eb51-11eb-8df3-e974156e0e1f,0.9604349136352539,38.34130144119263
identity,0.34865499365599273,52,76b6fdd2-eb51-11eb-8df3-e974156e0e1f,-0.385171502828598,23.16543412208557
sigmoid,0.47960835232292814,43,76b7186c-eb51-11eb-8df3-e974156e0e1f,-0.151243656873703,27.74050545692444
sigmoid,0.6564584767191314,87,76b72e7e-eb51-11eb-8df3-e974156e0e1f,-0.05028347298502922,37.18762421607971
identity,0.9085221691022712,53,76b743fa-eb51-11eb-8df3-e974156e0e1f,-1.7349449396133423,24.886939764022827
tanh,0.02787922837784087,51,76b7582c-eb51-11eb-8df3-e974156e0e1f,-0.025572195649147034,38.3413872718811
relu,0.33605941884587076,100,76b76a2e-eb51-11eb-8df3-e974156e0e1f,0.8568716049194336,31.71783947944641
sigmoid,0.3501959023576173,11,76b77d7a-eb51-11eb-8df3-e974156e0e1f,-0.02674371749162674,27.740592002868652
identity,0.34001553420975,12,76b7922e-eb51-11eb-8df3-e974156e0e1f,-0.16470950841903687,28.783201694488525
tanh,0.11067081727710058,91,7eb589ae-eb51-11eb-8df3-e974156e0e1f,-0.01617041975259781,36.43904209136963
sigmoid,0.7923599366016884,22,7efe2c86-eb51-11eb-8df3-e974156e0e1f,-0.16238488256931305,40.409677028656006
identity,0.5877240613762366,29,7f20e4ba-eb51-11eb-8df3-e974156e0e1f,-0.12696143984794617,31.717931509017944
sigmoid,0.4319541500697078,31,7f79406a-eb51-11eb-8df3-e974156e0e1f,-0.13942259550094604,43.30341172218323
identity,0.7718435467849687,22,7f965948-eb51-11eb-8df3-e974156e0e1f,-0.3430728614330292,39.02473759651184
identity,0.7303071472294596,95,7fc8e4bc-eb51-11eb-8df3-e974156e0e1f,-0.4378429055213928,34.95399045944214
relu,0.19609628174562008,39,7fe6adee-eb51-11eb-8df3-e974156e0e1f,0.9438631534576416,38.34145212173462
sigmoid,0.7887156119024699,27,805bb378-eb51-11eb-8df3-e974156e0e1f,-0.13958367705345154,37.640374183654785
